Topic,Word,POS,IPA,Pinyin,Meaning,Example,Translation,ImageURL
Hải sản,Oyster,n,/ˈɔɪ.stər/,háo,Hàu,Oyster is served raw with lemon juice.,Hàu được ăn sống với nước chanh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547088/Oyster_zqpvid.png
Hải sản,Crab,n,/kræb/,páng xiè,Cua,The crab hides under the rock.,Con cua trốn dưới tảng đá.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547055/Crab_znl1bc.png
Hải sản,Cockle,n,/ˈkɒk.əl/,gěn bèi,Sò,Cockles are small but tasty.,Sò huyết nhỏ nhưng rất ngon.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547054/Cockle_ljagpn.png
Hải sản,Scallop,n,/ˈskɒl.əp/,shàn bèi,Sò điệp,Scallops are grilled with butter and garlic.,Sò điệp được nướng với bơ và tỏi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547092/Scallop_hecisz.png
Hải sản,Octopus,n,/ˈɒk.tə.pʊs/,zhāng yú,Bạch tuộc,The octopus has eight long arms.,Con bạch tuộc có tám cánh tay dài.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547087/Octopus_bde9gz.png
Hải sản,Fish,n,/fɪʃ/,yú,Cá,Fish is a good source of protein.,Cá là nguồn cung cấp protein tốt.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547059/Fish_vdzbep.png
Hải sản,Eel,n,/iːl/,mán yú,Lươn,The eel lives in muddy water.,Con lươn sống trong vùng nước bùn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547058/Eel_xqucpn.png
Hải sản,Mussel,n,/ˈmʌsəl/,mǔ lì,Vẹm,Mussels are cooked in white wine sauce.,Con trai được nấu với sốt rượu vang trắng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547086/Mussel_lvlg2o.png
Hải sản,Clam,n,/klæm/,gélì,Nghêu,We collected clams on the beach.,Chúng tôi nhặt nghêu ở bãi biển.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547053/Clam_ndootr.png
Hải sản,Jellyfish,n,/ˈdʒɛliˌfɪʃ/,shuǐ mǔ,Sứa,Some jellyfish can be eaten in salads.,Một số loại sứa có thể ăn trong món gỏi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547084/Jellyfish_sjhwft.png
Năng lượng,Charcoal,n,/ˈtʃɑːrˌkoʊl/,mù tàn,Than củi,Charcoal is used for cooking on a barbecue.,Than củi được dùng để nướng trong các buổi tiệc BBQ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547136/Charcoal_yznqvw.png
Năng lượng,Battery,n,/ˈbætəri/,diàn chí,Pin,The remote control needs a new battery.,Điều khiển từ xa cần một viên pin mới.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547135/Battery_vlpodw.png
Năng lượng,Gasoline,n,/ˈɡæsəˌliːn/,qì yóu,Xăng,Gasoline is used to fuel cars.,Xăng được dùng để chạy xe hơi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547139/Gasoline_eiid7e.png
Năng lượng,Turbine,n,/ˈtɜr.baɪn/,fēng lún jī,Tua-bin,The turbine generates electricity from wind.,Tuabin tạo ra điện từ gió.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547151/Turbine_nu0tyq.png
Năng lượng,Sun,n,/sʌn/,tài yáng,Mặt trời,The sun provides energy for all living things.,Mặt trời cung cấp năng lượng cho mọi sinh vật.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547148/Sun_qagxe3.png
Năng lượng,Wind,n,/wɪnd/,fēng,Gió,Wind energy is clean and renewable.,Năng lượng gió là sạch và tái tạo được.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547154/Wind_lwo0a8.png
Năng lượng,Waterfall,n,/ˈwɔːtərˌfɔːl/,pù bù,Thác nước,The waterfall can be used to generate power.,Thác nước có thể được dùng để tạo ra điện.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547153/Waterfall_y44z4o.png
Năng lượng,Refinery,n,/rɪˈfaɪnəri/,liàn yóu chǎng,Nhà máy lọc,The refinery produces gasoline and diesel.,Nhà máy lọc dầu sản xuất xăng và dầu diesel.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547145/Refinery_scceer.png
Năng lượng,Nuclear reactor,n. phr,/ˈnjuː.kliər riˈæktər/,hé fàn yìng duī,Lò phản ứng hạt nhân,A nuclear reactor produces a huge amount of energy.,Lò phản ứng hạt nhân tạo ra một lượng năng lượng khổng lồ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547143/Nuclear-reactor_in41iz.png
Năng lượng,Dam,n,/dæm/,shuǐ bà,Đập (thủy điện),The dam stores water and generates electricity.,Con đập trữ nước và tạo ra điện.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547137/Dam_hvtm7s.png
Năng lượng,Power plant,n. phr,/ˈpaʊər plænt/,fā diàn chǎng,Nhà máy điện,The power plant supplies electricity to the city.,Nhà máy điện cung cấp điện cho thành phố.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547145/Power-plant_ixkkb4.png
Năng lượng,Transformer,n,/trænsˈfɔːrmər/,biàn yā qì,Máy biến thế,The transformer changes voltage levels.,Máy biến áp thay đổi mức điện áp.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547150/Transformer_zi0llp.png
Năng lượng,Heat,v,/hiːt/,rè néng,"Sưởi ấm, làm nóng",Heat from the sun warms the Earth.,Nhiệt từ mặt trời làm ấm Trái Đất.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547140/Heat_okifxh.png
Năng lượng,Natural gas,n. phr,/ˈnætʃərəl ɡæs/,tiān rán qì,Khí tự nhiên,Natural gas is used for cooking and heating.,Khí tự nhiên được dùng để nấu ăn và sưởi ấm.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547142/Natural-gas_hdbovn.png
Năng lượng,Diesel,n,/ˈdiːzəl/,chái yóu,Dầu đi-ê-zen,Diesel engines are powerful and efficient.,Động cơ diesel mạnh mẽ và hiệu quả.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547138/Diesel_mw8j9u.png
Năng lượng,Solar power,n. phr,/ˈsoʊlər ˈpaʊər/,tài yáng néng,Năng lượng mặt trời,Solar power is becoming more popular worldwide.,Năng lượng mặt trời ngày càng phổ biến trên toàn thế giới.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547147/Solar-power_ccfygj.png
Nghề nghiệp,Dancer,n,/ˈdæn.sər/,wǔ dǎo jiā,Vũ công,The dancer performs beautifully on stage.,Vũ công biểu diễn rất đẹp trên sân khấu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547216/Dancer_bm3dsy.png
Nghề nghiệp,Designer,n,/dɪˈzaɪ.nər/,shè jì shī,Nhà thiết kế,She works as a fashion designer.,Cô ấy làm nghề thiết kế thời trang.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547219/Designer_tz643j.png
Nghề nghiệp,Magician,n,/məˈdʒɪʃ.ən/,mó shù shī,Nhà ảo thuật,The magician amazed the audience.,Ảo thuật gia khiến khán giả kinh ngạc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547234/Magician_ky2q3b.png
Nghề nghiệp,Tour guide,n. phr,/tʊr ɡaɪd/,dǎo yóu,Hướng dẫn viên du lịch,The tour guide explains the history of the place.,Hướng dẫn viên du lịch giải thích lịch sử của địa điểm.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547461/Tour-guide_m3hr7q.png
Nghề nghiệp,Sailor,n,/ˈseɪ.lər/,hǎi yuán,Thủy thủ,The sailor works on a big ship.,Thủy thủ làm việc trên một con tàu lớn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547306/Sailor_gletwa.png
Nghề nghiệp,Commentator,n,/ˈkɒm.ənˌteɪ.tər/,jiě shuō yuán,Bình luận viên,The commentator described the football match vividly.,Bình luận viên mô tả trận bóng đầy sinh động.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547199/Commentator_xabnlc.png
Nghề nghiệp,Dentist,n,/ˈdɛn.tɪst/,yá yī,Nha sĩ,The dentist fixed my tooth yesterday.,Nha sĩ đã chữa răng cho tôi hôm qua.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547217/Dentist_tjn7km.png
Nghề nghiệp,Postman,n,/ˈpoʊst.mæn/,yóu chāi,Người đưa thư,The postman delivers letters every morning.,Người đưa thư giao thư mỗi sáng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547301/Postman_wkasbx.png
Nghề nghiệp,Writer,n,/ˈraɪ.tər/,zuò jiā,Nhà văn,She dreams of becoming a famous writer.,Cô ấy mơ ước trở thành một nhà văn nổi tiếng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547467/Writer_cv497f.png
Nghề nghiệp,Pilot,n,/ˈpaɪ.lət/,fēi xíng yuán,Phi công,The pilot is ready to take off.,Phi công đã sẵn sàng cất cánh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547246/Pilot_uezew2.png
Nghề nghiệp,Plumber,n,/ˈplʌm.ər/,shuǐ guǎn gōng,Thợ sửa chữa ống nước,The plumber repaired the broken pipe.,Thợ sửa ống nước đã sửa xong đường ống bị vỡ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547247/Plumber_yfjh3a.png
Nghề nghiệp,Tailor,n,/ˈteɪ.lər/,cáo féng shī,Thợ may,The tailor made a custom suit for him.,Thợ may đã may riêng cho anh ấy một bộ vest.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547457/Tailor_rnq0zd.png
Nghề nghiệp,Copywriter,n,/ˈkɒp.iˌraɪ.tər/,wén àn xiě shī,Người viết bài (quảng cáo),A copywriter creates catchy advertising slogans.,Người viết quảng cáo sáng tạo các khẩu hiệu thu hút.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547203/Copywriter_uoggs6.png
Nghề nghiệp,Journalist,n,/ˈdʒɜː.nə.lɪst/,jì zhě,Nhà báo,The journalist is writing a report on climate change.,Nhà báo đang viết bài về biến đổi khí hậu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547232/Journalist_pynmdn.png
Nghề nghiệp,Grocer,n,/ˈɡroʊ.sər/,zá huò shāng,Người bán tạp hóa,The grocer sells fresh fruits and vegetables.,Người bán tạp hóa bán rau củ quả tươi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547227/Grocer_ojwtu3.png
Nghề nghiệp,Clerk,n,/klɜrk/,zhí yuán,Người thư ký,The clerk helps customers at the counter.,Nhân viên bán hàng giúp khách tại quầy.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547198/Clerk_qva5jx.png
Nghề nghiệp,Assistant,n,/əˈsɪs.tənt/,zhù lǐ,Trợ lý,She works as an assistant in an office.,Cô ấy làm trợ lý trong văn phòng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547190/Assistant_qrt0e0.png
Nghề nghiệp,Model,n,/ˈmɒd.əl/,mó tè,Người mẫu,The model walked confidently on the runway.,Người mẫu sải bước tự tin trên sàn diễn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547239/Model_f4gojt.png
Nghề nghiệp,Freelancer,n,/ˈfriːˌlænsər/,zì yóu zhí yè zhě,Người làm việc tự do,He works as a freelancer from home.,Anh ấy làm nghề tự do tại nhà.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547225/Freelancer_hp7jjq.png
Nghề nghiệp,Consultant,n,/kənˈsʌl.tənt/,gù wèn,Chuyên viên tư vấn,The consultant gave useful business advice.,Cố vấn đã đưa ra lời khuyên kinh doanh hữu ích.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547201/Consultant_boqn5h.png
Nghề nghiệp,Self-employed,adj,/ˌsɛlfɪmˈplɔɪd/,gè tǐ hù,Tự làm chủ,He’s self-employed and runs his own company.,Anh ấy tự kinh doanh và điều hành công ty riêng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547450/Self-employed_zlcbnz.png
Nghề nghiệp,Supervisor,n,/ˈsuː.pərˌvaɪ.zər/,jiān dū,Giám sát viên,The supervisor checks the workers’ progress.,Người giám sát kiểm tra tiến độ của công nhân.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547237/Mechanic_tnl7ir.png
Nghề nghiệp,Sales manager,n. phr,/seɪlz ˈmæn.ɪ.dʒər/,xiāo shòu jīng lǐ,Giám đốc kinh doanh,The sales manager leads the sales team.,Trưởng phòng kinh doanh lãnh đạo đội ngũ bán hàng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547247/Sales-manager_wsdf2g.png
Nghề nghiệp,Production manager,n. phr,/prəˈdʌk.ʃən ˈmæn.ɪ.dʒər/,shēng chǎn jīng lǐ,Giám đốc sản xuất,The production manager oversees the factory.,Quản lý sản xuất giám sát nhà máy.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547305/Production-manager_hihfe4.png
Nghề nghiệp,Mechanic,n,/məˈkæn.ɪk/,jī xiè gōng,Thợ cơ khí,The mechanic repaired my car engine.,Thợ máy đã sửa động cơ xe của tôi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547237/Mechanic_tnl7ir.png
Nghề nghiệp,Managing director,n. phr,/ˈmæn.ɪ.dʒɪŋ dɪˈrɛktər/,zǒng jīng lǐ,Giám đốc điều hành,The managing director runs the company.,Giám đốc điều hành quản lý công ty.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547235/Managing-director_mz5v9a.png
Nghề nghiệp,Personal assistant,n. phr,/ˈpɜː.sən.əl əˈsɪs.tənt/,gè rén zhù lǐ,Trợ lý riêng,The personal assistant organized the schedule.,Trợ lý riêng sắp xếp lịch làm việc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547243/Personal-assistant_qzuow7.png
Nghề nghiệp,Hairdresser,n,/ˈhɛərˌdrɛs.ər/,lǐ fà shī,Thợ cắt tóc,The hairdresser cut and styled my hair.,Thợ làm tóc cắt và tạo kiểu cho tôi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547229/Hairdresser_h4bolr.png
Nghề nghiệp,Architect,n,/ˈɑːrkɪˌtɛkt/,jiàn zhù shī,Kiến trúc sư,The architect designed a modern building.,Kiến trúc sư thiết kế một tòa nhà hiện đại.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547188/Architect_juql0u.png
Nghề nghiệp,Engineer,n,/ˌɛn.dʒɪˈnɪər/,gōng chéng shī,Kỹ sư,The engineer builds bridges and roads.,Kỹ sư xây cầu và đường.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547222/Engineer_pqkqs2.png
Nghề nghiệp,Vet,n,/vɛt/,shòu yī,Bác sĩ thú y,The vet takes care of sick animals.,Bác sĩ thú y chăm sóc các con vật bị bệnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547465/Vet_at6ipt.png
Nghề nghiệp,Shoemaker,n,/ˈʃuːˌmeɪ.kər/,xié jiàng,Thợ đóng giày,The shoemaker made me a pair of leather shoes.,Thợ đóng giày làm cho tôi một đôi giày da.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547453/Shoemaker_ztgxw0.png
Nghề nghiệp,Translator,n,/trænzˈleɪ.tər/,fān yì,Biên dịch viên,The translator converts documents from English to Vietnamese.,Dịch giả dịch tài liệu từ tiếng Anh sang tiếng Việt.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547462/Translator_lau3qk.png
Nghề nghiệp,Interpreter,n,/ɪnˈtɜː.prɪ.tər/,kǒu yì,Phiên dịch viên,The interpreter translated the speech in real time.,Phiên dịch viên dịch bài phát biểu theo thời gian thực.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547230/Interpreter_p36vnl.png
Nghề nghiệp,Sanitation worker,n. phr,/ˌsænɪˈteɪ.ʃən ˈwɜːrkər/,qíng jié gōng,Lao công,The sanitation worker cleans the streets every day.,Công nhân vệ sinh quét dọn đường phố mỗi ngày.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547448/Sanitation-worker_jwfau2.png
Nghề nghiệp,Business manager,n. phr,/ˈbɪznɪs ˈmæn.ɪ.dʒər/,yè wù jīng lǐ,Giám đốc kinh doanh,The business manager plans company strategies.,Quản lý kinh doanh lập kế hoạch chiến lược cho công ty.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547191/Business-manager_qcgs5f.png
Nghề nghiệp,Police officer,n. phr,/pəˈliːs ˈɒfɪ.sər/,jǐng chá,Cảnh sát,The police officer helps keep the city safe.,Cảnh sát giúp giữ an toàn cho thành phố.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547300/Police-officer_mthhye.png
Nghề nghiệp,Personnel manager,n. phr,/ˌpɜːrsəˈnɛl ˈmæn.ɪ.dʒər/,rén shì jīng lǐ,Giám đốc nhân sự,The personnel manager hires new employees.,Quản lý nhân sự tuyển dụng nhân viên mới.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547244/Personnel-manager_tq8psz.png
Nghề nghiệp,Teacher,n,/ˈtiː.tʃər/,lǎo shī,Giáo viên,The teacher explains the lesson clearly.,Giáo viên giảng bài rất rõ ràng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547458/Teacher_dckmmz.png
Nghề nghiệp,Doctor,n,/ˈdɒk.tər/,yī shēng,Bác sĩ,The doctor treats sick patients.,Bác sĩ chữa bệnh cho bệnh nhân.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547220/Doctor_xun6i7.png
Nghề nghiệp,Nurse,n,/nɜrs/,hù shì,Y tá,The nurse takes care of the patients.,Y tá chăm sóc bệnh nhân.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547242/Nurse_ifmwdm.png
Nghề nghiệp,Farmer,n,/ˈfɑː.mər/,nóng mín,Nông dân,The farmer works hard in the field.,Người nông dân làm việc chăm chỉ trên cánh đồng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547224/Farmer_c4g9ek.png
Chế độ ăn uống,Keep-fit,n,/kiːp-fɪt/,jiàn shēn,Thể dục,She goes jogging every day to keep-fit.,Cô ấy chạy bộ mỗi ngày để giữ dáng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547566/Keep-fit_mildwa.png
Chế độ ăn uống,Regular,adj,/ˈrɛɡ.jʊ.lər/,zhèng cháng de,Thường xuyên,You should eat at regular times.,Bạn nên ăn đúng giờ đều đặn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547580/Regular_mcasek.png
Chế độ ăn uống,Diabetes,n,/ˌdaɪəˈbiːtiːz/,táng niào bìng,Bệnh tiểu đường,People with diabetes need to control their sugar intake.,Người bị tiểu đường cần kiểm soát lượng đường ăn vào.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547539/Diabetes_e3t18l.png
Chế độ ăn uống,Dietitian,n,/ˌdaɪɪˈtɪʃən/,yíng yǎng shī,Chuyên gia về dinh dưỡng,The dietitian gave me a healthy meal plan.,Chuyên gia dinh dưỡng đã đưa cho tôi một kế hoạch ăn uống lành mạnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547542/Dietitian_yf5i4y.png
Chế độ ăn uống,Goiter,n,/ˈɡɔɪtər/,jiǎ zhuàng xiàn zhǒng,Bướu cổ,Lack of iodine can cause goiter.,Thiếu i-ốt có thể gây bệnh bướu cổ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547548/Goiter_kjugpe.png
Chế độ ăn uống,Body,n,/ˈbɒdi/,shēn tǐ,Cơ thể,Exercise helps keep your body strong.,Tập thể dục giúp cơ thể khỏe mạnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547538/Body_vf8bpu.png
Chế độ ăn uống,Thin,adj,/θɪn/,shòu,"Gầy, ốm",She looks thin but very healthy.,Cô ấy trông gầy nhưng rất khỏe mạnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547581/Thin_owftwy.png
Chế độ ăn uống,Dietary,adj,/ˈdaɪəˌtɛri/,yǐn shí de,(thuộc) chế độ ăn uống,He follows a strict dietary plan.,Anh ấy tuân theo một chế độ ăn nghiêm ngặt.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547541/Dietary_uzixky.png
Chế độ ăn uống,Fat,adj,/fæt/,zhī fáng,Mập,Too much fat is bad for your heart.,Quá nhiều chất béo không tốt cho tim của bạn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547546/Fat_sqgqsi.png
Chế độ ăn uống,Overweight,adj,/ˌoʊvərˈweɪt/,guò zhòng,"Béo, thừa cân",Being overweight can lead to health problems.,Thừa cân có thể dẫn đến các vấn đề sức khỏe.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547575/Overweight_ef7ofb.png
Chế độ ăn uống,Eating disorder,n. phr,/ˈiːtɪŋ dɪsˈɔːrdər/,yǐn shí zhàng ài,Rối loạn ăn uống,She recovered from an eating disorder.,Cô ấy đã hồi phục sau chứng rối loạn ăn uống.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547544/Eating-disorder_e016br.png
Chế độ ăn uống,Nutrient,n,/ˈnuːtriənt/,yíng yǎng sù,Chất dinh dưỡng,Fruits and vegetables contain many nutrients.,Trái cây và rau củ chứa nhiều chất dinh dưỡng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547570/Nutrient_famdir.png
Chế độ ăn uống,Ingredient,n,/ɪnˈɡriːdiənt/,chéng fèn,"Thành phần, nguyên liệu",The main ingredient of this soup is chicken.,Nguyên liệu chính của món súp này là thịt gà.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547564/Ingredient_wsv4uc.png
Chế độ ăn uống,Allergy,n,/ˈælədʒi/,guò mǐn,Dị ứng,He has a peanut allergy.,Anh ấy bị dị ứng với đậu phộng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547528/Allergy_r2uymd.png
Chế độ ăn uống,Vitamin,n,/ˈvaɪtəmɪn/,wèi tā mìng,Vi-ta-min,Vitamin C helps strengthen your immune system.,Vitamin C giúp tăng cường hệ miễn dịch.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547585/Vitamin_jeylzz.png
Chế độ ăn uống,Overeat,v,/ˌoʊvərˈiːt/,chī tài duō,Ăn quá nhiều,Don’t overeat before going to bed.,Đừng ăn quá nhiều trước khi đi ngủ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547573/Overeat_do1mcb.png
Chế độ ăn uống,Nutritious,adj,/njuˈtrɪʃəs/,yíng yǎng de,Bổ dưỡng,This meal is light but very nutritious.,Bữa ăn này nhẹ nhưng rất bổ dưỡng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547572/Nutritious_tudvnl.png
Chế độ ăn uống,Vegetarian,n,/ˌvɛdʒɪˈtɛəriən/,sù shí zhě,Người ăn chay,She is a vegetarian and doesn’t eat meat.,Cô ấy là người ăn chay và không ăn thịt.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547583/Vegetarian_mprp7e.png
Chế độ ăn uống,Mineral,n,/ˈmɪnərəl/,kuàng wù zhí,Khoáng chất,Milk is rich in calcium and other minerals.,Sữa chứa nhiều canxi và các khoáng chất khác.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547568/Mineral_gh4tpl.png
Thảm họa thiên nhiên,Earthquake,n,/ˈɜːrθˌkweɪk/,dì zhèn,Động đất,The earthquake destroyed many buildings.,Trận động đất đã phá hủy nhiều tòa nhà.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547636/Earthquake_p9l5rc.png
Thảm họa thiên nhiên,Aftershock,n,/ˈæftərˌʃɒk/,hòu zhèn,Dư chấn,People were frightened by the strong aftershock.,Mọi người hoảng sợ vì dư chấn mạnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547613/Aftershock_cdd30h.png
Thảm họa thiên nhiên,Flood,n,/flʌd/,hóng shuǐ,Lũ lụt,The flood covered all the roads in the city.,Trận lũ đã làm ngập tất cả các con đường trong thành phố.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547643/Flood_svhlmd.png
Thảm họa thiên nhiên,Drought,n,draʊt/,gān hàn,Hạn hán,The drought lasted for several months.,Hạn hán kéo dài suốt nhiều tháng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547634/Drought_tp9l7u.png
Thảm họa thiên nhiên,Famine,n,/ˈfæmɪn/,jī huāng,Nạn đói,The famine caused many people to suffer.,Nạn đói khiến nhiều người phải chịu khổ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547641/Famine_qua27n.png
Thảm họa thiên nhiên,Avalanche,n,/ˈævəˌlæntʃ/,xuě báo,Tuyết lở,The avalanche buried the mountain village.,Trận tuyết lở đã chôn vùi ngôi làng trên núi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547614/Avalanche_kxejfh.png
Thảm họa thiên nhiên,Blizzard,n,/ˈblɪzərd/,bào fēng xuě,Bão tuyết,The blizzard made it impossible to travel.,Trận bão tuyết khiến việc di chuyển trở nên không thể.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547616/Blizzard_ng2clm.png
Thảm họa thiên nhiên,Tornado,n,/tɔrˈneɪdoʊ/,lóng juǎn fēng,Lốc xoáy,The tornado destroyed everything in its path.,Cơn lốc xoáy phá hủy mọi thứ trên đường đi của nó.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547666/Tornado_rgizul.png
Thảm họa thiên nhiên,Forest fire,n. phr,/ˈfɔːrɪst ˌfaɪər/,sēn lín huǒ zāi,Cháy rừng,The forest fire spread quickly because of the wind.,Đám cháy rừng lan nhanh do gió mạnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547653/Forest-fire_n9fyvt.png
Thảm họa thiên nhiên,Hurricane,n,/ˈhɜːrɪˌkeɪn/,jù fēng,Bão,The hurricane hit the coastal area last night.,Cơn bão lớn đã tấn công vùng ven biển tối qua.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547655/Hurricane_ncp7wp.png
Thảm họa thiên nhiên,Storm,n,/stɔːrm/,bào fēng,Bão,The storm broke many trees along the street.,Cơn bão làm gãy nhiều cây trên đường.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547664/Storm_vqnjey.png
Thảm họa thiên nhiên,Evacuation,n,/ɪˌvækjuˈeɪʃən/,chě lí,Sự sơ tán,The government ordered an evacuation of the area.,Chính phủ ra lệnh sơ tán khu vực đó.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547639/Evacuation_tynkxi.png
Thảm họa thiên nhiên,Evacuate,v,/ɪˈvækjuˌeɪt/,chě lí / táo lí,Sơ tán,They had to evacuate before the flood came.,Họ phải sơ tán trước khi lũ đến.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547637/Evacuate_yvl2gc.png
Thảm họa thiên nhiên,Catastrophic,adj,/ˌkætəˈstrɒfɪk/,zāi nàn xìng de,Thảm khốc,The damage was catastrophic after the tsunami.,Thiệt hại thật thảm khốc sau trận sóng thần.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547632/Catastrophic_oxogxa.png
Thảm họa thiên nhiên,Nationwide,adj,/ˌneɪʃənˈwaɪd/,quán guó de,Toàn quốc,The power outage affected people nationwide.,Mất điện ảnh hưởng đến người dân trên toàn quốc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547660/Nationwide_ruxvnv.png
Thảm họa thiên nhiên,Precaution,n,/prɪˈkɔːʃən/,yù fáng cuò shī,Sự phòng ngừa,Always take precaution during the storm season.,Luôn đề phòng trong mùa bão.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759547662/Precaution_payibj.png
